LOC,ITEM,DEPT,DEPT_NAME,CLASS,CLASS_NAME,SUBCLASS,SUB_NAME,ITEM_DESC,AV_COST,SELLING_UNIT_RETAIL,CURRENCY_CODE,UDA_VALUE,ITEM_LOC_STATUS,SIZE,BARCODE
ALT01,033327060376,9837,LEATHER GOODS & LUGGAGE,3899,VSC:VERSACE,3972,BAGS,1015792-1A13171-1YB6V:VSC.1YB6V:UNICA:SHOULDER LAMB LEATHER,2111.9781,4500,AED,333,A,UNICA,8053609934223
ALT01,033327060377,9837,LEATHER GOODS & LUGGAGE,3899,VSC:VERSACE,6823,SMALL LEATHER GOODS,1017759-1A08724-2RE3V:VSC.2RE3V:UNICA:CHARM CALF EMBOSSING CROCO,801.2453,2050,AED,333,A,UNICA,8053609967023
ALT01,033327060378,9822,FOOTWEAR,3899,VSC:VERSACE,4547,ESPADRILLES,1014100-1A11411-1KF9V:VSC.1KF9V:35:WEDGE T.120 CALF LEATHER,1335.7007,3100,AED,333,A,35,8053609397875
ALT01,033327060379,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:35:LOW TOP SUEDE+FABRIC+CALF LEATHER,898.7893,2250,AED,333,A,35,8053609866852
ALT01,033327060380,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:36:LOW TOP SUEDE+FABRIC+CALF LEATHER,841.3616,2250,AED,333,A,36,8053609866838
ALT01,033327060381,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:37:LOW TOP SUEDE+FABRIC+CALF LEATHER,800.8438,2250,AED,333,A,37,8053609866814
ALT01,033327060382,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:38:LOW TOP SUEDE+FABRIC+CALF LEATHER,821.1028,2250,AED,333,A,38,8053609866791
ALT01,033327060383,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:39:LOW TOP SUEDE+FABRIC+CALF LEATHER,841.3617,2250,AED,333,A,39,8053609866760
ALT01,033327060384,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:40:LOW TOP SUEDE+FABRIC+CALF LEATHER,894.024,2250,AED,333,A,40,8053609866906
ALT01,033327060385,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A12892-2EJ70:VSC.2EJ70:41:LOW TOP SUEDE+FABRIC+CALF LEATHER,898.7893,2250,AED,333,A,41,8053609866883
ALT01,033327060386,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:36:SANDAL T.45 CALF LEATHER,1497.9819,3450,AED,333,A,36,8053609893971
ALT01,033327060387,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:37:SANDAL T.45 CALF LEATHER,1497.9819,3450,AED,333,A,37,8053609893964
ALT01,033327060388,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:38:SANDAL T.45 CALF LEATHER,1497.9819,3450,AED,333,A,38,8053609893940
ALT01,033327060389,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:39:SANDAL T.45 CALF LEATHER,1497.9819,3450,AED,333,A,39,8053609893933
ALT01,033327060390,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:40:SANDAL T.45 CALF LEATHER,1362.3194,3450,AED,333,A,40,8053609893926
ALT01,033327060391,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1013017-1A08983-1PF5V:VSC.1PF5V:41:SANDAL T.45 CALF LEATHER,1362.3194,3450,AED,333,A,41,8053609893988
ALT01,033327060392,9816,APPAREL COMPLEMENTS,3899,VSC:VERSACE,4009,BELT/BUCKLE/SUSPENDERS,1009125-1A04791-1B00V:VSC.1B00V:65:BELT 15 GRECA GODDESS ENAMEL VITELLO,629.9358,1600,AED,333,A,65,8054712771859
ALT01,033327060393,9837,LEATHER GOODS & LUGGAGE,3899,VSC:VERSACE,3972,BAGS,1018302-1A13171-1YB6V:VSC.1YB6V:UNICA:HOBO LAMB LEATHER,2281.8073,5850,AED,333,A,UNICA,8053609934308
ALT01,033327060394,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1013568-1A13518-2WL90:VSC.2WL90:35:SNEAKER FREE BIO FABRIC+SATIN+DEGRADE STRASS,1292.3766,3200,AED,333,A,35,8053609874338
ALT01,033327060398,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:35:LOW TOP FABRIC,898.7893,2050,AED,333,A,35,8053609867477
ALT01,033327060399,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:36:LOW TOP FABRIC,898.7893,2050,AED,333,A,36,8053609867491
ALT01,033327060400,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:37:LOW TOP FABRIC,819.1724,2050,AED,333,A,37,8053609867514
ALT01,033327060401,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:38:LOW TOP FABRIC,819.1724,2050,AED,333,A,38,8053609867538
ALT01,033327060402,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:39:LOW TOP FABRIC,819.1724,2050,AED,333,A,39,8053609867552
ALT01,033327060403,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:40:LOW TOP FABRIC,819.1724,2050,AED,333,A,40,8053609867576
ALT01,033327060404,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1019007-1A13634-1KJ10:VSC.1KJ10:41:LOW TOP FABRIC,819.1723,2050,AED,333,A,41,8053609867590
ALT01,033327060405,9822,FOOTWEAR,3899,VSC:VERSACE,6828,SNEAKERS/ATHLETIC,1014460-1A09449-2BE4C:VSC.2BE4C:44.5:SNEAKER FABRIC+ FREE BIO,890.4049,2440,AED,333,A,44.5,8056204807152
ALT01,033327060406,9822,FOOTWEAR,3899,VSC:VERSACE,5973,MOCASSINS/LOAFERS,1013592-1A09912-1B00V:VSC.1B00V:40.5:LOAFER CALF LEATHER,1227.8363,3735,AED,333,A,40.5,8056204804274
ALT01,033327067502,9822,FOOTWEAR,3899,VSC:VERSACE,5973,MOCASSINS/LOAFERS,1013592-1A09912-1B00V:VSC.1B00V:42.5:LOAFER CALF LEATHER,1468.61,3735,AED,333,A,42.5,8056204804236
ALT01,033327067503,9822,FOOTWEAR,3899,VSC:VERSACE,5973,MOCASSINS/LOAFERS,1013592-1A09881-1B00V:VSC.1B00V:40.5:LOAFER CALF LEATHER,1560.554,3735,AED,333,A,40.5,8056204803956
ALT01,033327067504,9822,FOOTWEAR,3899,VSC:VERSACE,5973,MOCASSINS/LOAFERS,1013592-1A09881-1B00V:VSC.1B00V:44.5:LOAFER CALF LEATHER,1560.554,3735,AED,333,A,44.5,8056204803871
ALT01,033327054675,9847,COSTUME JEWELRY,3899,VSC:VERSACE,4137,BRACELETS,1018427-1A00620-3J000:VSC.3J000:UNICA:BRACELET METAL,997.2533,2550,AED,333,A,UNICA,8053609924385
ALT01,033327054678,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:35:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,35,8053609882579
ALT01,033327054678,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:35:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,35,8054034336880
ALT01,033327054679,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:36:MULE T.10 PATENT CALF LEATHER,1028.4626,2850,AED,333,A,36,8053609882593
ALT01,033327054679,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:36:MULE T.10 PATENT CALF LEATHER,1028.4626,2850,AED,333,A,36,8054034336873
ALT01,033327054680,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:36.5:MULE T.10 PATENT CALF LEATHER,1116.1436,2850,AED,333,A,36.5,8053609882609
ALT01,033327054681,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:37:MULE T.10 PATENT CALF LEATHER,1028.4626,2850,AED,333,A,37,8053609882616
ALT01,033327054681,9822,FOOTWEAR,3899,VSC:VERSACE,6723,SANDALS,1018364-D2VE-1B000:VSC.1B000:37:MULE T.10 PATENT CALF LEATHER,1028.4626,2850,AED,333,A,37,8054034336927
