NUM_DOC;LABEL_DOC;SITE_LOCATION;STOCK_LOCATION;DATE;STATUS_DOC;CODE_ARTICLE;EXPECTED_QUANTITY_LINE;COUNTED_QUANTITY_LINE;GAP_QUANTITY_LINE;STATUS_LINE;FAMILY
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135729;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135770;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135741;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135721;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135584;1;1;0;COUNTED_ON_SECTOR;6688
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135800;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135894;1;2;1;COUNTED_ON_SECTOR;3973
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135754;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135763;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135788;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135571;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717135787;2;2;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344250;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344669;1;1;0;COUNTED_ON_SECTOR;6749
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344382;1;1;0;COUNTED_ON_SECTOR;6749
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344362;2;2;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344282;1;1;0;COUNTED_ON_SECTOR;4137
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344548;1;1;0;COUNTED_ON_SECTOR;6668
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344246;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344253;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344254;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344666;3;3;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344667;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344670;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344377;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344387;3;2;-1;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344453;1;1;0;COUNTED_ON_SECTOR;6033
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717344369;1;1;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425701;2;2;0;COUNTED_ON_SECTOR;4533
FAI000000002855;SWR VL PODIUM FC- 190526;30104;30104_L2;20260520 08:05:07;CONFIRMED;030717425706;2;2;0;COUNTED_ON_SECTOR;4533
